"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"90","YCM1124003F2281","ニトラゼパム錠５ｍｇ「イセイ」","","","","","","1","00000000","20220331"
"91","YCM1124003F2290","ニトラゼパム錠５ｍｇ「テバ」","","","","","","1","00000000","20230930"
"92","YCM1124003F2303","ニトラゼパム錠５ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"93","YCM1124003F2311","ニトラゼパム錠５ｍｇ「ＮＩＧ」","","","","","","1","00000000","00000000"
"94","YCM1124003F3016","ニトラゼパム１０ｍｇ錠","","","","","","1","00000000","00000000"
"95","YCM1124003F3083","ネルボン錠１０ｍｇ","","","","","","1","00000000","00000000"
"96","YCM1124003F3121","ベンザリン錠１０","","","","","","1","00000000","00000000"
"97","YCM1124003F3156","ニトラゼパム錠１０ｍｇ「ＪＧ」","","","","","","1","00000000","00000000"
"98","YCM1124003F3164","ニトラゼパム錠１０ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"99","YCM1124003F3172","ニトラゼパム錠１０ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"100","YCM1124005C1032","ソメリン細粒１％","","","","","","1","00000000","00000000"
"101","YCM1124005F1020","ソメリン錠５ｍｇ","","","","","","1","00000000","00000000"
"102","YCM1124005F2027","ソメリン錠１０ｍｇ","","","","","","1","00000000","00000000"
"103","YCM1124007F1011","トリアゾラム０．１２５ｍｇ錠","","","","","","1","00000000","00000000"
"104","YCM1124007F1020","ハルシオン０．１２５ｍｇ錠","","","","","","1","00000000","00000000"
"105","YCM1124007F1038","ハルラック錠０．１２５ｍｇ","","","","","","1","00000000","20200930"
"106","YCM1124007F1046","トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」","","","","","","1","00000000","20240331"
"107","YCM1124007F1070","トリアゾラム錠０．１２５ｍｇ「ＪＧ」","","","","","","1","00000000","20230331"
"108","YCM1124007F1097","トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"109","YCM1124007F1127","トリアゾラム錠０．１２５ｍｇ「テバ」","","","","","","1","00000000","20240331"
"110","YCM1124007F1135","トリアゾラム錠０．１２５ｍｇ「日医工」","","","","","","1","00000000","00000000"
"111","YCM1124007F1143","トリアゾラム錠０．１２５ｍｇ「ＣＨ」","","","","","","1","00000000","00000000"
"112","YCM1124007F1151","トリアゾラム錠０．１２５ｍｇ「ＫＮ」","","","","","","1","00000000","20230331"
"113","YCM1124007F1160","トリアゾラム錠０．１２５ｍｇ「日新」","","","","","","1","00000000","00000000"
"114","YCM1124007F1178","トリアゾラム錠０．１２５ｍｇ「ＦＹ」","","","","","","1","00000000","00000000"
"115","YCM1124007F2018","トリアゾラム０．２５ｍｇ錠","","","","","","1","00000000","00000000"
"116","YCM1124007F2026","ハルシオン０．２５ｍｇ錠","","","","","","1","00000000","00000000"
"117","YCM1124007F2107","ハルラック錠０．２５ｍｇ","","","","","","1","00000000","20200930"
"118","YCM1124007F2182","トリアゾラム錠０．２５ｍｇ「ＪＧ」","","","","","","1","00000000","20230331"
"119","YCM1124007F2190","トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」","","","","","","1","00000000","20240331"
"120","YCM1124007F2204","トリアゾラム錠０．２５ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"121","YCM1124007F2220","トリアゾラム錠０．２５ｍｇ「テバ」","","","","","","1","00000000","20240331"
"122","YCM1124007F2239","トリアゾラム錠０．２５ｍｇ「日医工」","","","","","","1","00000000","00000000"
"123","YCM1124007F2247","トリアゾラム錠０．２５ｍｇ「ＣＨ」","","","","","","1","00000000","00000000"
"124","YCM1124007F2255","トリアゾラム錠０．２５ｍｇ「ＫＮ」","","","","","","1","00000000","20230331"
"125","YCM1124007F2263","トリアゾラム錠０．２５ｍｇ「日新」","","","","","","1","00000000","00000000"
"126","YCM1124007F2271","トリアゾラム錠０．２５ｍｇ「ＦＹ」","","","","","","1","00000000","00000000"
"127","YCM1124008F1016","フルニトラゼパム１ｍｇ錠","","","","","","1","00000000","00000000"
"128","YCM1124008F1024","サイレース錠１ｍｇ","","","","","","1","00000000","00000000"
"129","YCM1124008F1067","フルニトラゼパム錠１ｍｇ「アメル」","","","","","","1","00000000","00000000"
"130","YCM1124008F1075","フルニトラゼパム錠１ｍｇ「ＪＧ」","","","","","","1","00000000","00000000"
"131","YCM1124008F1091","フルニトラゼパム錠１ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"132","YCM1124008F2012","フルニトラゼパム２ｍｇ錠","","","","","","1","00000000","00000000"
"133","YCM1124008F2020","サイレース錠２ｍｇ","","","","","","1","00000000","00000000"
"134","YCM1124008F2047","フルニトラゼパム錠２ｍｇ「アメル」","","","","","","1","00000000","00000000"
"135","YCM1124008F2071","フルニトラゼパム錠２ｍｇ「ＪＧ」","","","","","","1","00000000","00000000"
"136","YCM1124008F2098","フルニトラゼパム錠２ｍｇ「ＴＣＫ」","","","","","","1","00000000","00000000"
"137","YCM1124009F1010","ブロチゾラム０．２５ｍｇ錠","","","","","","1","00000000","00000000"
"138","YCM1124009F1185","ブロチゾラムＭ錠０．２５「ＥＭＥＣ」","","","","","","1","00000000","20210930"
"139","YCM1124009F1193","ブロチゾラム錠０．２５ｍｇ「ＹＤ」","","","","","","1","00000000","20240331"
"140","YCM1124009F1223","レンドルミン錠０．２５ｍｇ","","","","","","1","00000000","00000000"
"141","YCM1124009F1282","ブロチゾラム錠０．２５ｍｇ「ＣＨ」","","","","","","1","00000000","00000000"
"142","YCM1124009F1290","ブロチゾラム錠０．２５ｍｇ「ＪＧ」","","","","","","1","00000000","20220331"
"143","YCM1124009F1304","ブロチゾラム錠０．２５ｍｇ「オーハラ」","","","","","","1","00000000","00000000"
"144","YCM1124009F1312","ブロチゾラム錠０．２５ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"145","YCM1124009F1320","ブロチゾラム錠０．２５ｍｇ「ＮＰ」","","","","","","1","00000000","20200331"
"146","YCM1124009F1339","ブロチゾラム錠０．２５ｍｇ「アメル」","","","","","","1","00000000","00000000"
"147","YCM1124009F1347","ブロチゾラム錠０．２５ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"148","YCM1124009F1355","ブロチゾラム錠０．２５ｍｇ「日医工」","","","","","","1","00000000","20240331"
"149","YCM1124009F1363","ブロチゾラム錠０．２５ｍｇ「日新」","","","","","","1","00000000","00000000"
"150","YCM1124009F1371","ブロチゾラム錠０．２５ｍｇ「テバ」","","","","","","1","00000000","00000000"
"151","YCM1124009F1380","ブロチゾラム錠０．２５ｍｇ「ＴＣＫ」","","","","","","1","00000000","20210331"
"152","YCM1124009F1398","ブロチゾラム錠０．２５ｍｇ「ヨシトミ」","","","","","","1","00000000","00000000"
"153","YCM1124009F1401","ブロチゾラム錠０．２５ｍｇ「ＡＦＰ」","","","","","","1","00000000","00000000"
"154","YCM1124009F1410","ブロチゾラム錠０．２５ｍｇ「ＥＭＥＣ」","","","","","","1","00000000","00000000"
"155","YCM1124009F2017","ブロチゾラム０．２５ｍｇ口腔内崩壊錠","","","","","","1","00000000","00000000"
"156","YCM1124009F2025","レンドルミンＤ錠０．２５ｍｇ","","","","","","1","00000000","00000000"
"157","YCM1124009F2068","ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」","","","","","","1","00000000","00000000"
"158","YCM1124009F2076","ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"159","YCM1124009F2084","ブロチゾラムＯＤ錠０．２５ｍｇ「アメル」","","","","","","1","00000000","00000000"
"160","YCM1124009F2092","ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」","","","","","","1","00000000","00000000"
"161","YCM1124009F3030","ブロチゾラム錠０．１２５ｍｇ「ＮＰ」","","","","","","1","00000000","20200331"
"162","YCM1124010F1021","エバミール錠１．０","","","","","","1","00000000","00000000"
"163","YCM1124010F1030","ロラメット錠１．０","","","","","","1","00000000","00000000"
"164","YCM1124013B1031","セレナール散１０％","","","","","","1","00000000","00000000"
"165","YCM1124013F1033","セレナール錠５","","","","","","1","00000000","00000000"
"166","YCM1124013F2064","セレナール錠１０","","","","","","1","00000000","00000000"
"167","YCM1124014B1036","セパゾン散１％","","","","","","1","00000000","00000000"
"168","YCM1124014F1038","セパゾン錠１","","","","","","1","00000000","00000000"
"169","YCM1124014F2034","セパゾン錠２","","","","","","1","00000000","00000000"
"170","YCM1124015M2038","メンドンカプセル７．５ｍｇ","","","","","","1","00000000","00000000"
"171","YCM1124017B1129","セルシン散１％","","","","","","1","00000000","00000000"
"172","YCM1124017B1137","ジアゼパム散１％「アメル」","","","","","","1","00000000","00000000"
"173","YCM1124017B1145","ホリゾン散１％","","","","","","1","00000000","00000000"
"174","YCM1124017F2011","ジアゼパム２ｍｇ錠","","","","","","1","00000000","00000000"
"175","YCM1124017F2046","ジアゼパム錠２「サワイ」","","","","","","1","00000000","00000000"
"176","YCM1124017F2054","ジアゼパム錠２「トーワ」","","","","","","1","00000000","00000000"
"177","YCM1124017F2089","ジアパックス錠２ｍｇ","","","","","","1","00000000","20210930"
"178","YCM1124017F2135","２ｍｇセルシン錠","","","","","","1","00000000","00000000"
"179","YCM1124017F2151","ホリゾン錠２ｍｇ","","","","","","1","00000000","00000000"
"180","YCM1124017F2194","ジアゼパム錠２ｍｇ「アメル」","","","","","","1","00000000","00000000"
"181","YCM1124017F2216","ジアゼパム錠２ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"182","YCM1124017F2224","ジアゼパム錠２ｍｇ「タイホウ」","","","","","","1","00000000","00000000"
"183","YCM1124017F4014","ジアゼパム５ｍｇ錠","","","","","","1","00000000","00000000"
"184","YCM1124017F4049","５ｍｇセルシン錠","","","","","","1","00000000","00000000"
"185","YCM1124017F4065","ジアゼパム錠５「トーワ」","","","","","","1","00000000","00000000"
"186","YCM1124017F4090","ジアパックス錠５ｍｇ","","","","","","1","00000000","20210930"
"187","YCM1124017F4162","ホリゾン錠５ｍｇ","","","","","","1","00000000","00000000"
"188","YCM1124017F4200","ジアゼパム錠５ｍｇ「アメル」","","","","","","1","00000000","00000000"
"189","YCM1124017F4219","ジアゼパム錠５ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"190","YCM1124017F4227","ジアゼパム錠５ｍｇ「タイホウ」","","","","","","1","00000000","00000000"
"191","YCM1124017F5037","１０ｍｇセルシン錠","","","","","","1","00000000","00000000"
"192","YCM1124017F5096","ジアゼパム錠１０ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"193","YCM1124017Q1032","セルシンシロップ０．１％","","","","","","1","00000000","00000000"
"194","YCM1124019F1030","エリスパン錠０．２５ｍｇ","","","","","","1","00000000","20240331"
"195","YCM1124020C1045","レキソタン細粒１％","","","","","","1","00000000","00000000"
"196","YCM1124020C1053","セニラン細粒１％","","","","","","1","00000000","20210331"
"197","YCM1124020C1061","ブロマゼパム細粒１％「サンド」","","","","","","1","00000000","00000000"
"198","YCM1124020F1017","ブロマゼパム１ｍｇ錠","","","","","","1","00000000","20240331"
"199","YCM1124020F1025","レキソタン錠１","","","","","","1","00000000","00000000"
"200","YCM1124020F1033","セニラン錠１ｍｇ","","","","","","1","00000000","20200930"
"201","YCM1124020F1041","ブロマゼパム錠１ｍｇ「サンド」","","","","","","1","00000000","00000000"
"202","YCM1124020F2013","ブロマゼパム２ｍｇ錠","","","","","","1","00000000","20240331"
"203","YCM1124020F2030","レキソタン錠２","","","","","","1","00000000","00000000"
"204","YCM1124020F2048","セニラン錠２ｍｇ","","","","","","1","00000000","20200930"
"205","YCM1124020F2056","ブロマゼパム錠２ｍｇ「サンド」","","","","","","1","00000000","00000000"
"206","YCM1124020F3010","ブロマゼパム３ｍｇ錠","","","","","","1","00000000","20240331"
"207","YCM1124020F3036","セニラン錠３ｍｇ","","","","","","1","00000000","20200930"
"208","YCM1124020F3044","ブロマゼパム錠３ｍｇ「サンド」","","","","","","1","00000000","00000000"
"209","YCM1124020F4016","ブロマゼパム５ｍｇ錠","","","","","","1","00000000","00000000"
"210","YCM1124020F4032","レキソタン錠５","","","","","","1","00000000","00000000"
"211","YCM1124020F4040","セニラン錠５ｍｇ","","","","","","1","00000000","20200930"
"212","YCM1124020F4059","ブロマゼパム錠５ｍｇ「サンド」","","","","","","1","00000000","00000000"
"213","YCM1124021F1046","メダゼパム錠２（ツルハラ）","","","","","","1","00000000","00000000"
"214","YCM1124021F1054","レスミット錠２","","","","","","1","00000000","00000000"
"215","YCM1124021F2123","メダゼパム錠５（ツルハラ）","","","","","","1","00000000","00000000"
"216","YCM1124021F2166","レスミット錠５","","","","","","1","00000000","00000000"
"217","YCM1124022F1016","ロラゼパム０．５ｍｇ錠","","","","","","1","00000000","20240331"
"218","YCM1124022F1067","ワイパックス錠０．５","","","","","","1","00000000","00000000"
"219","YCM1124022F1083","ロラゼパム錠０．５ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"220","YCM1124022F2012","ロラゼパム１ｍｇ錠","","","","","","1","00000000","00000000"
"221","YCM1124022F2071","ワイパックス錠１．０","","","","","","1","00000000","00000000"
"222","YCM1124022F2110","ロラゼパム錠１ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"223","YCM1124023F1010","アルプラゾラム０．４ｍｇ錠","","","","","","1","00000000","00000000"
"224","YCM1124023F1029","コンスタン０．４ｍｇ錠","","","","","","1","00000000","00000000"
"225","YCM1124023F1037","ソラナックス０．４ｍｇ錠","","","","","","1","00000000","00000000"
"226","YCM1124023F1100","アルプラゾラム錠０．４ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"227","YCM1124023F1118","アルプラゾラム錠０．４ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"228","YCM1124023F1126","アルプラゾラム錠０．４ｍｇ「アメル」","","","","","","1","00000000","00000000"
"229","YCM1124023F2017","アルプラゾラム０．８ｍｇ錠","","","","","","1","00000000","00000000"
"230","YCM1124023F2025","コンスタン０．８ｍｇ錠","","","","","","1","00000000","00000000"
"231","YCM1124023F2033","ソラナックス０．８ｍｇ錠","","","","","","1","00000000","00000000"
"232","YCM1124023F2050","アルプラゾラム錠０．８ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"233","YCM1124023F2076","アルプラゾラム錠０．８ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"234","YCM1124023F2084","アルプラゾラム錠０．８ｍｇ「アメル」","","","","","","1","00000000","00000000"
"235","YCM1124024C1035","コレミナール細粒１％","","","","","","1","00000000","00000000"
"236","YCM1124024F1031","コレミナール錠４ｍｇ","","","","","","1","00000000","00000000"
"237","YCM1124025C1030","メレックス細粒０．１％","","","","","","1","00000000","00000000"
"238","YCM1124025F1028","メレックス錠０．５ｍｇ","","","","","","1","00000000","00000000"
"239","YCM1124025F2024","メレックス錠１ｍｇ","","","","","","1","00000000","00000000"
"240","YCM1124026C1018","トフィソパム１０％細粒","","","","","","1","00000000","20240331"
"241","YCM1124026C1085","グランダキシン細粒１０％","","","","","","1","00000000","20230331"
"242","YCM1124026C1107","トフィソパム細粒１０％「ＣＨ」","","","","","","1","00000000","20220331"
"243","YCM1124026C1115","トフィソパム細粒１０％「ツルハラ」","","","","","","1","00000000","00000000"
"244","YCM1124026F1014","トフィソパム５０ｍｇ錠","","","","","","1","00000000","00000000"
"245","YCM1124026F1022","グランダキシン錠５０","","","","","","1","00000000","00000000"
"246","YCM1124026F1324","トフィソパム錠５０ｍｇ「日医工」","","","","","","1","00000000","20240331"
"247","YCM1124026F1332","トフィソパム錠５０ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"248","YCM1124026F1340","トフィソパム錠５０ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"249","YCM1124027F1035","レスタス錠２ｍｇ","","","","","","1","00000000","20230331"
"250","YCM1124028B1011","クロルジアゼポキシド散","","","","","","1","00000000","00000000"
"251","YCM1124028B1046","コントール散１％","","","","","","1","00000000","00000000"
"252","YCM1124028B1062","クロルジアゼポキシド散１％「ツルハラ」","","","","","","1","00000000","00000000"
"253","YCM1124028B2018","クロルジアゼポキシド散","","","","","","1","00000000","00000000"
"254","YCM1124028B2050","バランス散１０％","","","","","","1","00000000","00000000"
"255","YCM1124028B2069","コントール散１０％","","","","","","1","00000000","00000000"
"256","YCM1124028F1013","クロルジアゼポキシド錠","","","","","","1","00000000","00000000"
"257","YCM1124028F1030","５ｍｇコントール錠","","","","","","1","00000000","00000000"
"258","YCM1124028F1048","バランス錠５ｍｇ","","","","","","1","00000000","00000000"
"259","YCM1124028F1056","クロルジアゼポキシド錠５ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"260","YCM1124028F2010","クロルジアゼポキシド錠","","","","","","1","00000000","00000000"
"261","YCM1124028F2036","１０ｍｇコントール錠","","","","","","1","00000000","00000000"
"262","YCM1124028F2079","バランス錠１０ｍｇ","","","","","","1","00000000","00000000"
"263","YCM1124028F2087","クロルジアゼポキシド錠１０ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
"264","YCM1124029C1038","メイラックス細粒１％","","","","","","1","00000000","00000000"
"265","YCM1124029F1018","ロフラゼプ酸エチル１ｍｇ錠","","","","","","1","00000000","00000000"
"266","YCM1124029F1026","メイラックス錠１ｍｇ","","","","","","1","00000000","00000000"
"267","YCM1124029F1123","ロフラゼプ酸エチル錠１ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"268","YCM1124029F1131","ロフラゼプ酸エチル錠１ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"269","YCM1124029F1140","ロフラゼプ酸エチル錠１ｍｇ「ＳＮ」","","","","","","1","00000000","00000000"
"270","YCM1124029F1158","ロフラゼプ酸エチル錠１ｍｇ「日医工」","","","","","","1","00000000","20240331"
"271","YCM1124029F2014","ロフラゼプ酸エチル２ｍｇ錠","","","","","","1","00000000","00000000"
"272","YCM1124029F2022","メイラックス錠２ｍｇ","","","","","","1","00000000","00000000"
"273","YCM1124029F2090","ロフラゼプ酸エチル錠２ｍｇ「サワイ」","","","","","","1","00000000","00000000"
"274","YCM1124029F2103","ロフラゼプ酸エチル錠２ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"275","YCM1124029F2111","ロフラゼプ酸エチル錠２ｍｇ「ＳＮ」","","","","","","1","00000000","00000000"
"276","YCM1124029F2120","ロフラゼプ酸エチル錠２ｍｇ「日医工」","","","","","","1","00000000","20240331"
"277","YCM1124030F1010","クアゼパム１５ｍｇ錠","","","","","","1","00000000","00000000"
"278","YCM1124030F1029","ドラール錠１５","","","","","","1","00000000","00000000"
"279","YCM1124030F1037","クアゼパム錠１５ｍｇ「ＭＮＰ」","","","","","","1","00000000","00000000"
"280","YCM1124030F1045","クアゼパム錠１５ｍｇ「ＹＤ」","","","","","","1","00000000","00000000"
"281","YCM1124030F1053","クアゼパム錠１５ｍｇ「アメル」","","","","","","1","00000000","00000000"
"282","YCM1124030F1061","クアゼパム錠１５ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"283","YCM1124030F1070","クアゼパム錠１５ｍｇ「日医工」","","","","","","1","00000000","00000000"
"284","YCM1124030F1088","クアゼパム錠１５ｍｇ「サワイ」","","","","","","1","00000000","00000000"
